	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I990|A0A0N7I990_AZOBR	HAMP domain-containing protein	361	20	0.0	83.15	5	F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase			
true	[NO-BLAST]	tr|A0A0P0EXL8|A0A0P0EXL8_AZOBR	---NA---	132											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6M5|A0A0P0F6M5_AZOBR	YOAE_BACSURecName: Full=Probable oxidoreductase YoaE	683	20	3.22289E-113	42.82	6	F:GO:0016491; P:GO:0043436; C:GO:0044464; F:GO:0046872; F:GO:0051536; P:GO:0055114	F:oxidoreductase activity; P:oxoacid metabolic process; C:obsolete cell part; F:metal ion binding; F:iron-sulfur cluster binding; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FBP5|A0A0P0FBP5_AZOBR	APRD_PSEAERecName: Full=Alkaline protease secretion ATP-binding protein AprD	573	20	2.40566E-122	51.8	6	P:GO:0009987; C:GO:0016020; F:GO:0016887; F:GO:0022857; C:GO:0044464; P:GO:0046903	P:cellular process; C:membrane; F:ATPase activity; F:transmembrane transporter activity; C:obsolete cell part; P:secretion	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[NO-BLAST]	tr|A0A0N7I8D7|A0A0N7I8D7_AZOBR	---NA---	485											
true	[NO-BLAST]	tr|A0A0P0F0I9|A0A0P0F0I9_AZOBR	---NA---	272											
true	[NO-BLAST]	tr|A0A0P0ET49|A0A0P0ET49_AZOBR	---NA---	170											
true	[NO-BLAST]	tr|A0A0P0EL79|A0A0P0EL79_AZOBR	---NA---	84											
true	[BLASTED, MAPPED]	tr|A0A0N7I8A1|A0A0N7I8A1_AZOBR	NFDA_ARTPSRecName: Full=N-substituted formamide deformylase; Flags: Precursor	656	3	1.98256E-27	44.09	13	F:GO:0005506; C:GO:0005737; P:GO:0006547; P:GO:0006548; F:GO:0008270; F:GO:0016787; F:GO:0016810; F:GO:0016812; P:GO:0019556; P:GO:0019557; F:GO:0033966; F:GO:0046872; F:GO:0050480	F:iron ion binding; C:cytoplasm; P:histidine metabolic process; P:histidine catabolic process; F:zinc ion binding; F:hydrolase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides; P:histidine catabolic process to glutamate and formamide; P:histidine catabolic process to glutamate and formate; F:N-substituted formamide deformylase activity; F:metal ion binding; F:imidazolonepropionase activity					
true	[NO-BLAST]	tr|A0A0P0EJT4|A0A0P0EJT4_AZOBR	---NA---	650											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F552|A0A0P0F552_AZOBR	ABC transporter ATP-binding protein/permease	604	20	0.0	84.05	4	F:GO:0005524; C:GO:0016021; F:GO:0042626; P:GO:0055085	F:ATP binding; C:integral component of membrane; F:ATPase-coupled transmembrane transporter activity; P:transmembrane transport	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[NO-BLAST]	tr|A0A0P0F820|A0A0P0F820_AZOBR	---NA---	157											
true	[BLASTED, MAPPED]	tr|A0A0P0EI18|A0A0P0EI18_AZOBR	HUPK_BRADURecName: Full=Hydrogenase expression/formation protein HupK	389	16	5.89926E-9	57.17	12	F:GO:0005515; C:GO:0005886; F:GO:0008901; C:GO:0016020; F:GO:0016151; F:GO:0016491; C:GO:0031236; F:GO:0033748; C:GO:0042597; F:GO:0046872; F:GO:0047806; P:GO:0055114	F:protein binding; C:plasma membrane; F:ferredoxin hydrogenase activity; C:membrane; F:nickel cation binding; F:oxidoreductase activity; C:extrinsic component of periplasmic side of plasma membrane; F:hydrogenase (acceptor) activity; C:periplasmic space; F:metal ion binding; F:cytochrome-c3 hydrogenase activity; P:oxidation-reduction process					
true	[NO-BLAST]	tr|A0A0P0EKA7|A0A0P0EKA7_AZOBR	---NA---	457											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F0E6|A0A0P0F0E6_AZOBR	cation:proton antiporter	422	20	0.0	89.1	3	F:GO:0015299; C:GO:0016021; P:GO:1902600	F:solute:proton antiporter activity; C:integral component of membrane; P:proton transmembrane transport					
true	[NO-BLAST]	tr|A0A0P0FEC1|A0A0P0FEC1_AZOBR	---NA---	352											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I8N7|A0A0N7I8N7_AZOBR	glycosyltransferase	261	20	0.0	89.62	2	P:GO:0009058; F:GO:0016757	P:biosynthetic process; F:transferase activity, transferring glycosyl groups					
true	[NO-BLAST]	tr|A0A0P0EN39|A0A0P0EN39_AZOBR	---NA---	131											
true	[BLASTED]	tr|A0A0P0ERH1|A0A0P0ERH1_AZOBR	Y5696_SACENRecName: Full=UPF0261 protein SACE_5696	411	13	2.9018E-174	69.51								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EXJ9|A0A0P0EXJ9_AZOBR	glycosyltransferase WbuB	385	20	0.0	82.49	1	F:GO:0016740	F:transferase activity					
true	[NO-BLAST]	tr|A0A0P0F3J5|A0A0P0F3J5_AZOBR	---NA---	212											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FCD3|A0A0P0FCD3_AZOBR	SQRD_ACIF2RecName: Full=Sulfide-quinone reductase; Short=SQR; AltName: Full=Sulfide:quinone oxidoreductase	431	3	4.16686E-154	58.07	1	F:GO:0042802	F:identical protein binding					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FD86|A0A0P0FD86_AZOBR	Y1727_PSEAERecName: Full=Uncharacterized signaling protein PA1727	443	20	1.14344E-30	53.11	10	F:GO:0000166; F:GO:0005515; F:GO:0008144; C:GO:0016020; F:GO:0043169; C:GO:0044464; P:GO:0050794; F:GO:0052621; F:GO:0071111; P:GO:0071732	F:nucleotide binding; F:protein binding; F:drug binding; C:membrane; F:cation binding; C:obsolete cell part; P:regulation of cellular process; F:diguanylate cyclase activity; F:cyclic-guanylate-specific phosphodiesterase activity; P:cellular response to nitric oxide	EC:2.7.7.65; EC:3.1.4.52	Diguanylate cyclase; Cyclic-guanylate-specific phosphodiesterase			
true	[NO-BLAST]	tr|A0A0P0F1C2|A0A0P0F1C2_AZOBR	---NA---	567											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EXM4|A0A0P0EXM4_AZOBR	PHOR_BACSURecName: Full=Alkaline phosphatase synthesis sensor protein PhoR	477	20	3.85723E-19	46.27	7	F:GO:0004672; F:GO:0005515; P:GO:0006468; P:GO:0007165; C:GO:0016020; F:GO:0016787; C:GO:0044464	F:protein kinase activity; F:protein binding; P:protein phosphorylation; P:signal transduction; C:membrane; F:hydrolase activity; C:obsolete cell part					
true	[NO-BLAST]	tr|A0A0P0FEQ8|A0A0P0FEQ8_AZOBR	---NA---	427											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EGW1|A0A0P0EGW1_AZOBR	branched-chain amino acid ABC transporter permease	332	20	0.0	95.03	4	C:GO:0005886; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport					
true	[BLASTED, MAPPED]	tr|A0A0P0F4L2|A0A0P0F4L2_AZOBR	EPMA_HAEDURecName: Full=Elongation factor P--(R)-beta-lysine ligase; Short=EF-P--(R)-beta-lysine ligase; AltName: Full=EF-P post-translational modification enzyme A; AltName: Full=EF-P-lysine lysyltransferase	350	20	1.06776E-62	53.8	10	F:GO:0000166; F:GO:0004812; F:GO:0004824; F:GO:0005524; C:GO:0005737; P:GO:0006418; P:GO:0006430; F:GO:0016874; F:GO:0016880; P:GO:0071915	F:nucleotide binding; F:aminoacyl-tRNA ligase activity; F:lysine-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:tRNA aminoacylation for protein translation; P:lysyl-tRNA aminoacylation; F:ligase activity; F:acid-ammonia (or amide) ligase activity; P:protein-lysine lysylation					
true	[NO-BLAST]	tr|A0A0P0EEW6|A0A0P0EEW6_AZOBR	---NA---	300											
true	[NO-BLAST]	tr|A0A0P0ET07|A0A0P0ET07_AZOBR	---NA---	126											
true	[BLASTED, MAPPED]	tr|A0A0P0EQ65|A0A0P0EQ65_AZOBR	YUFQ_BACSURecName: Full=Uncharacterized ABC transporter permease protein YufQ	324	3	9.12983E-43	48.9	5	C:GO:0005886; C:GO:0016020; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport					
true	[NO-BLAST]	tr|A0A0P0EAP5|A0A0P0EAP5_AZOBR	---NA---	269											
true	[NO-BLAST]	tr|A0A0P0EQQ8|A0A0P0EQQ8_AZOBR	---NA---	95											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERB9|A0A0P0ERB9_AZOBR	RCSC_SALTYRecName: Full=Sensor histidine kinase RcsC	715	20	2.61762E-14	48.74	7	F:GO:0004673; F:GO:0005488; C:GO:0005886; P:GO:0006468; P:GO:0006950; P:GO:0007165; P:GO:0042221	F:protein histidine kinase activity; F:binding; C:plasma membrane; P:protein phosphorylation; P:response to stress; P:signal transduction; P:response to chemical	EC:2.7.13.3	Histidine kinase			
true	[BLASTED, MAPPED]	tr|A0A0P0EUT1|A0A0P0EUT1_AZOBR	LPSD_RHIMERecName: Full=Lipopolysaccharide core biosynthesis glycosyltransferase LpsD	427	3	1.22415E-9	43.16	8	P:GO:0000271; P:GO:0009103; P:GO:0009244; C:GO:0016020; C:GO:0016021; F:GO:0016740; F:GO:0016757; F:GO:0016772	P:polysaccharide biosynthetic process; P:lipopolysaccharide biosynthetic process; P:lipopolysaccharide core region biosynthetic process; C:membrane; C:integral component of membrane; F:transferase activity; F:transferase activity, transferring glycosyl groups; F:transferase activity, transferring phosphorus-containing groups					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F5F0|A0A0P0F5F0_AZOBR	DIVJ_CAUVCRecName: Full=Histidine protein kinase DivJ	748	20	4.90001E-69	55.57	5	F:GO:0004672; F:GO:0005515; C:GO:0016020; P:GO:0023014; C:GO:0044464	F:protein kinase activity; F:protein binding; C:membrane; P:signal transduction by protein phosphorylation; C:obsolete cell part					
true	[NO-BLAST]	tr|A0A0P0EKS6|A0A0P0EKS6_AZOBR	---NA---	249											
true	[NO-BLAST]	tr|A0A0P0ENK5|A0A0P0ENK5_AZOBR	---NA---	247											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EU58|A0A0P0EU58_AZOBR	FAA hydrolase family protein	227	20	2.10628E-163	94.8	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EYZ1|A0A0P0EYZ1_AZOBR	AMPG_ECO57RecName: Full=Protein AmpG	447	20	1.14353E-72	52.69	2	C:GO:0005886; P:GO:0006810	C:plasma membrane; P:transport					
true	[NO-BLAST]	tr|A0A0P0F2Z8|A0A0P0F2Z8_AZOBR	---NA---	173											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F8J7|A0A0P0F8J7_AZOBR	glutathione S-transferase family protein	212	20	8.56606E-155	89.66	1	F:GO:0004364	F:glutathione transferase activity	EC:2.5.1.18	Glutathione transferase			
true	[NO-BLAST]	tr|A0A0P0EX78|A0A0P0EX78_AZOBR	---NA---	60											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F8Q8|A0A0P0F8Q8_AZOBR	histidine kinase	841	20	0.0	89.38	7	F:GO:0000155; P:GO:0000160; F:GO:0005524; P:GO:0006355; C:GO:0016021; P:GO:0018106; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; P:regulation of transcription, DNA-templated; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EXF1|A0A0P0EXF1_AZOBR	alpha/beta hydrolase	263	20	0.0	84.77	1	F:GO:0016787	F:hydrolase activity					
true	[NO-BLAST]	tr|A0A0P0F1J1|A0A0P0F1J1_AZOBR	---NA---	680											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EI49|A0A0P0EI49_AZOBR	flagellar motor protein MotA	288	20	0.0	95.41	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	tr|A0A0P0F0G3|A0A0P0F0G3_AZOBR	PG18_MYCTURecName: Full=PE-PGRS family protein PE_PGRS18	326	2	1.438E-13	52.24								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FII5|A0A0P0FII5_AZOBR	RraA family protein	222	20	5.38744E-158	85.79	3	F:GO:0008168; P:GO:0032259; F:GO:0047443	F:methyltransferase activity; P:methylation; F:4-hydroxy-4-methyl-2-oxoglutarate aldolase activity	EC:4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase			
true	[BLASTED, MAPPED]	tr|A0A0P0EXG5|A0A0P0EXG5_AZOBR	Y338_HAEINRecName: Full=Putative transport protein HI_0338	371	2	4.81777E-9	56.57	3	C:GO:0005886; C:GO:0016020; C:GO:0016021	C:plasma membrane; C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FEB6|A0A0P0FEB6_AZOBR	ABC transporter substrate-binding protein	381	20	0.0	89.89	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FEG8|A0A0P0FEG8_AZOBR	ABC transporter permease	319	20	0.0	91.3	3	F:GO:0005215; C:GO:0005886; C:GO:0016021	F:transporter activity; C:plasma membrane; C:integral component of membrane					
true	[BLASTED]	tr|A0A0N7I8L4|A0A0N7I8L4_AZOBR	flagellar assembly protein FliH	256	20	0.0	82.8								
true	[BLASTED]	tr|A0A0N7I8U0|A0A0N7I8U0_AZOBR	ABC transporter substrate-binding protein	337	20	0.0	92.71								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EB08|A0A0P0EB08_AZOBR	MGLL_MYCTURecName: Full=Monoacylglycerol lipase; Short=MGL	367	2	3.69126E-15	45.64	2	F:GO:0016787; P:GO:0044255	F:hydrolase activity; P:cellular lipid metabolic process					
true	[NO-BLAST]	tr|A0A0P0F911|A0A0P0F911_AZOBR	---NA---	361											
true	[NO-BLAST]	tr|A0A0P0FEL9|A0A0P0FEL9_AZOBR	---NA---	309											
true	[NO-BLAST]	tr|A0A0N7I913|A0A0N7I913_AZOBR	---NA---	272											
true	[BLASTED, MAPPED]	tr|A0A0P0F1K2|A0A0P0F1K2_AZOBR	QCRC_CORGLRecName: Full=Cytochrome bc1 complex cytochrome c subunit; Short=Cytochrome c1; AltName: Full=Cytochrome bc1 reductase complex subunit Qcrc; AltName: Full=Menaquinol--cytochrome c reductase cytochrome c subunit	176	1	1.00294E-4	50.0	12	F:GO:0005506; C:GO:0005886; F:GO:0008121; F:GO:0009055; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0020037; P:GO:0022900; F:GO:0046872; P:GO:0055114; C:GO:0070469	F:iron ion binding; C:plasma membrane; F:ubiquinol-cytochrome-c reductase activity; F:electron transfer activity; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:heme binding; P:electron transport chain; F:metal ion binding; P:oxidation-reduction process; C:respirasome					
true	[NO-BLAST]	tr|A0A0P0EVY3|A0A0P0EVY3_AZOBR	---NA---	271											
true	[BLASTED, MAPPED]	tr|A0A0P0FCL9|A0A0P0FCL9_AZOBR	NRTC_SYNY3RecName: Full=Nitrate transport ATP-binding protein NrtC	466	10	1.65803E-71	47.92	12	F:GO:0000166; F:GO:0005524; C:GO:0005886; P:GO:0006811; F:GO:0015106; F:GO:0015112; P:GO:0015701; P:GO:0015706; C:GO:0016020; F:GO:0016787; F:GO:0016887; P:GO:0042128	F:nucleotide binding; F:ATP binding; C:plasma membrane; P:ion transport; F:bicarbonate transmembrane transporter activity; F:nitrate transmembrane transporter activity; P:bicarbonate transport; P:nitrate transport; C:membrane; F:hydrolase activity; F:ATPase activity; P:nitrate assimilation					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I8F5|A0A0N7I8F5_AZOBR	FAD-dependent oxidoreductase	473	20	0.0	94.61	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ED04|A0A0P0ED04_AZOBR	GACS_PSESYRecName: Full=Sensor protein GacS	147	20	5.88499E-21	55.87	16	F:GO:0000155; P:GO:0000160; F:GO:0000287; F:GO:0003677; F:GO:0005509; F:GO:0005515; C:GO:0005886; F:GO:0009927; P:GO:0010447; P:GO:0042542; P:GO:0044010; P:GO:0044110; P:GO:0045893; P:GO:0046777; P:GO:0071310; P:GO:0071470	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:magnesium ion binding; F:DNA binding; F:calcium ion binding; F:protein binding; C:plasma membrane; F:histidine phosphotransfer kinase activity; P:response to acidic pH; P:response to hydrogen peroxide; P:single-species biofilm formation; P:growth involved in symbiotic interaction; P:positive regulation of transcription, DNA-templated; P:protein autophosphorylation; P:cellular response to organic substance; P:cellular response to osmotic stress	EC:2.7.13.3	Histidine kinase			
true	[NO-BLAST]	tr|A0A0P0EY24|A0A0P0EY24_AZOBR	---NA---	259											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6C2|A0A0P0F6C2_AZOBR	GCN5 family acetyltransferase	174	20	1.99711E-122	83.64	1	F:GO:0102971	F:phosphinothricin N-acetyltransferase activity	EC:2.3.1.183	Phosphinothricin acetyltransferase			
true	[NO-BLAST]	tr|A0A0P0FC43|A0A0P0FC43_AZOBR	---NA---	121											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EK08|A0A0P0EK08_AZOBR	acyl-CoA dehydrogenase	399	20	0.0	83.04	4	F:GO:0003995; F:GO:0043958; F:GO:0050660; P:GO:0055114	F:acyl-CoA dehydrogenase activity; F:acryloyl-CoA reductase activity; F:flavin adenine dinucleotide binding; P:oxidation-reduction process	EC:1.3.99.3	Acting on the CH-CH group of donors			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I7A8|A0A0N7I7A8_AZOBR	GSIA_SHIBSRecName: Full=Glutathione import ATP-binding protein GsiA	632	20	4.08561E-154	65.32	4	F:GO:0000166; C:GO:0005886; P:GO:0071702; P:GO:0071705	F:nucleotide binding; C:plasma membrane; P:organic substance transport; P:nitrogen compound transport					
true	[NO-BLAST]	tr|A0A0N7I852|A0A0N7I852_AZOBR	---NA---	466											
true	[NO-BLAST]	tr|A0A0P0EFU5|A0A0P0EFU5_AZOBR	---NA---	378											
true	[NO-BLAST]	tr|A0A0N7I7V9|A0A0N7I7V9_AZOBR	---NA---	105											
true	[NO-BLAST]	tr|A0A0P0F8I9|A0A0P0F8I9_AZOBR	---NA---	320											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FE44|A0A0P0FE44_AZOBR	GntR family transcriptional regulator	263	20	0.0	88.87	3	F:GO:0003677; F:GO:0003700; P:GO:0006355	F:DNA binding; F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6Z5|A0A0P0F6Z5_AZOBR	MDTC_PECCPRecName: Full=Multidrug resistance protein MdtC; AltName: Full=Multidrug transporter MdtC	1033	20	1.54614E-46	42.66	1	C:GO:0016020	C:membrane					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F779|A0A0P0F779_AZOBR	branched-chain amino acid ABC transporter permease	323	20	0.0	88.68	4	C:GO:0005886; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FFR2|A0A0P0FFR2_AZOBR	BAUR_PSEAERecName: Full=HTH-type transcriptional activator BauR	313	1	7.41444E-40	53.56	1	P:GO:0019222	P:regulation of metabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EA62|A0A0P0EA62_AZOBR	cob(I)yrinic acid a,c-diamide adenosyltransferase	213	20	7.6911E-154	91.1	5	F:GO:0005524; C:GO:0005737; P:GO:0006779; F:GO:0008817; P:GO:0009236	F:ATP binding; C:cytoplasm; P:porphyrin-containing compound biosynthetic process; F:cob(I)yrinic acid a,c-diamide adenosyltransferase activity; P:cobalamin biosynthetic process	EC:2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase			
true	[NO-BLAST]	tr|A0A0N7I7L0|A0A0N7I7L0_AZOBR	---NA---	122											
true	[NO-BLAST]	tr|A0A0P0F8Y6|A0A0P0F8Y6_AZOBR	---NA---	255											
true	[NO-BLAST]	tr|A0A0P0F5E2|A0A0P0F5E2_AZOBR	---NA---	324											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EQE1|A0A0P0EQE1_AZOBR	HAMP domain-containing protein	459	20	0.0	89.68	5	F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase			
true	[NO-BLAST]	tr|A0A0P0F427|A0A0P0F427_AZOBR	---NA---	216											
true	[NO-BLAST]	tr|A0A0N7I8V6|A0A0N7I8V6_AZOBR	---NA---	386											
true	[NO-BLAST]	tr|A0A0P0EBQ3|A0A0P0EBQ3_AZOBR	---NA---	132											
true	[BLASTED, MAPPED]	tr|A0A0P0EFP0|A0A0P0EFP0_AZOBR	YEEZ_ECO57RecName: Full=Protein YeeZ; Flags: Precursor	293	1	3.27445E-7	40.09	5	F:GO:0000166; F:GO:0003824; F:GO:0005524; C:GO:0005829; F:GO:0050662	F:nucleotide binding; F:catalytic activity; F:ATP binding; C:cytosol; F:obsolete coenzyme binding					
true	[BLASTED, MAPPED]	tr|A0A0P0EPA7|A0A0P0EPA7_AZOBR	HPF_RHIMERecName: Full=Ribosome hibernation promotion factor; Short=HPF	198	3	5.05883E-35	55.47	7	C:GO:0005737; P:GO:0006417; C:GO:0022627; F:GO:0043022; F:GO:0043024; P:GO:0044238; P:GO:0045900	C:cytoplasm; P:regulation of translation; C:cytosolic small ribosomal subunit; F:ribosome binding; F:ribosomal small subunit binding; P:primary metabolic process; P:negative regulation of translational elongation					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F4T3|A0A0P0F4T3_AZOBR	formate hydrogenlyase	305	20	0.0	93.72	3	C:GO:0016021; F:GO:0016829; P:GO:0055114	C:integral component of membrane; F:lyase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED]	tr|A0A0P0F596|A0A0P0F596_AZOBR	ESTB_BURGARecName: Full=Esterase EstB	320	4	7.11276E-112	50.9	13	C:GO:0005576; C:GO:0005737; C:GO:0005886; P:GO:0008360; F:GO:0008800; P:GO:0009252; C:GO:0016020; F:GO:0016787; P:GO:0017001; C:GO:0030288; P:GO:0030435; P:GO:0046677; P:GO:0071555	C:extracellular region; C:cytoplasm; C:plasma membrane; P:regulation of cell shape; F:beta-lactamase activity; P:peptidoglycan biosynthetic process; C:membrane; F:hydrolase activity; P:antibiotic catabolic process; C:outer membrane-bounded periplasmic space; P:sporulation resulting in formation of a cellular spore; P:response to antibiotic; P:cell wall organization					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FBR9|A0A0P0FBR9_AZOBR	response regulator	1213	20	0.0	75.41	6	F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0018106; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase			
true	[NO-BLAST]	tr|A0A0P0F1I5|A0A0P0F1I5_AZOBR	---NA---	342											
true	[BLASTED, MAPPED]	tr|A0A0P0FEM5|A0A0P0FEM5_AZOBR	OTNK_PSEF5RecName: Full=3-oxo-tetronate kinase; AltName: Full=3-dehydrotetronate 4-kinase	435	4	6.63231E-31	42.22	6	F:GO:0000166; F:GO:0005524; P:GO:0005975; F:GO:0016301; P:GO:0016310; F:GO:0016740	F:nucleotide binding; F:ATP binding; P:carbohydrate metabolic process; F:kinase activity; P:phosphorylation; F:transferase activity					
true	[NO-BLAST]	tr|A0A0P0F5J3|A0A0P0F5J3_AZOBR	---NA---	179											
true	[NO-BLAST]	tr|A0A0P0EFI3|A0A0P0EFI3_AZOBR	---NA---	253											
true	[NO-BLAST]	tr|A0A0P0EHS5|A0A0P0EHS5_AZOBR	---NA---	236											
true	[NO-BLAST]	tr|A0A0P0F6V2|A0A0P0F6V2_AZOBR	---NA---	272											
true	[NO-BLAST]	tr|A0A0N7I8E7|A0A0N7I8E7_AZOBR	---NA---	344											
true	[NO-BLAST]	tr|A0A0P0EBR9|A0A0P0EBR9_AZOBR	---NA---	112											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERA4|A0A0P0ERA4_AZOBR	ACOB_CUPNHRecName: Full=Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta; Short=Acetoin:DCPIP oxidoreductase-beta; Short=Ao:DCPIP OR; AltName: Full=TPP-dependent acetoin dehydrogenase E1 subunit beta	343	20	0.0	62.88	7	F:GO:0005515; F:GO:0016491; P:GO:0019752; P:GO:0044238; P:GO:0045150; P:GO:0055114; P:GO:1901564	F:protein binding; F:oxidoreductase activity; P:carboxylic acid metabolic process; P:primary metabolic process; P:acetoin catabolic process; P:oxidation-reduction process; P:organonitrogen compound metabolic process					
true	[NO-BLAST]	tr|A0A0P0EW18|A0A0P0EW18_AZOBR	---NA---	116											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EY18|A0A0P0EY18_AZOBR	RECG_PASMURecName: Full=ATP-dependent DNA helicase RecG	693	20	4.20013E-149	57.62	8	F:GO:0003678; F:GO:0005515; C:GO:0005829; P:GO:0009314; C:GO:0009379; P:GO:0032508; F:GO:0097159; F:GO:1901363	F:DNA helicase activity; F:protein binding; C:cytosol; P:response to radiation; C:Holliday junction helicase complex; P:DNA duplex unwinding; F:organic cyclic compound binding; F:heterocyclic compound binding	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[NO-BLAST]	tr|A0A0P0F418|A0A0P0F418_AZOBR	---NA---	376											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FG09|A0A0P0FG09_AZOBR	HPRK_CLOB8RecName: Full=HPr kinase/phosphorylase; Short=HPrK/P; AltName: Full=HPr(Ser) kinase/phosphorylase	146	20	8.2422E-13	63.07	5	F:GO:0000166; F:GO:0004672; P:GO:0006468; P:GO:0007165; F:GO:0046872	F:nucleotide binding; F:protein kinase activity; P:protein phosphorylation; P:signal transduction; F:metal ion binding					
