#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0789	SoxR	5	4.596774	0.001059	Predicted transcriptional regulators
COG0790	COG0790	6	3.363013	0.000775	FOG: TPR repeat, SEL1 subfamily
COG0791	Spr	1	0.86802	0.0002	Cell wall-associated hydrolases (invasion-associated proteins)
COG0792	COG0792	1	0.947368	0.000218	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
COG0793	Prc	5	4.238916	0.000976	Periplasmic protease
COG0794	GutQ	1	0.940594	0.000216	Predicted sugar phosphate isomerase involved in capsule formation
COG0795	COG0795	2	1.994505	0.000459	Predicted permeases
COG0796	MurI	1	0.936802	0.000215	Glutamate racemase
COG0797	RlpA	3	1.635193	0.000376	Lipoproteins
COG0799	COG0799	1	0.87826	0.000202	Uncharacterized homolog of plant Iojap protein
COG0800	Eda	2	1.966824	0.000453	2-keto-3-deoxy-6-phosphogluconate aldolase
COG0801	FolK	1	0.94375	0.000217	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
COG0802	COG0802	1	0.818791	0.000188	Predicted ATPase or kinase
COG0803	LraI	1	0.90429	0.000208	ABC-type metal ion transport system, periplasmic component/surface adhesin
COG0804	UreC	1	0.996478	0.000229	Urea amidohydrolase (urease) alpha subunit
COG0805	TatC	1	0.996078	0.000229	Sec-independent protein secretion pathway component TatC
COG0806	RimM	1	0.925287	0.000213	RimM protein, required for 16S rRNA processing
COG0807	RibA	3	2.6943	0.00062	GTP cyclohydrolase II
COG0809	QueA	1	0.988505	0.000227	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
COG0810	TonB	3	1.319672	0.000304	Periplasmic protein TonB, links inner and outer membranes
COG0811	TolQ	4	2.722222	0.000627	Biopolymer transport proteins
COG0812	MurB	1	0.996563	0.000229	UDP-N-acetylmuramate dehydrogenase
COG0815	Lnt	1	0.96525	0.000222	Apolipoprotein N-acyltransferase
COG0816	COG0816	1	0.971631	0.000223	Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)
COG0817	RuvC	1	0.95625	0.00022	Holliday junction resolvasome, endonuclease subunit
COG0819	TenA	1	0.986238	0.000227	Putative transcription activator
COG0820	COG0820	1	0.971346	0.000223	Predicted Fe-S-cluster redox enzyme
COG0821	gcpE	1	0.961218	0.000221	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase
COG0822	IscU	2	1.806666	0.000416	NifU homolog involved in Fe-S cluster formation
COG0823	TolB	1	0.962352	0.000221	Periplasmic component of the Tol biopolymer transport system
COG0824	FcbC	6	5.635036	0.001298	Predicted thioesterase
COG0825	AccA	1	0.990536	0.000228	Acetyl-CoA carboxylase alpha subunit
COG0828	RpsU	1	0.985074	0.000227	Ribosomal protein S21
COG0829	UreH	1	1	0.00023	Urease accessory protein UreH
COG0830	UreF	1	0.938864	0.000216	Urease accessory protein UreF
COG0831	UreA	1	1	0.00023	Urea amidohydrolase (urease) gamma subunit
COG0832	UreB	1	0.95283	0.000219	Urea amidohydrolase (urease) beta subunit
COG0834	HisJ	16	14.02909	0.003233	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
COG0835	CheW	7	5.951515	0.001371	Chemotaxis signal transduction protein
COG0836	{ManC	1	0.996996	0.000229	Mannose-1-phosphate guanylyltransferase
COG0837	Glk	1	1	0.00023	Glucokinase
COG0838	NuoA	1	0.983739	0.000226	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
COG0839	NuoJ	1	1	0.00023	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
COG0840	Tar	55	44.455882	0.010246	Methyl-accepting chemotaxis protein
COG0841	AcrB	12	11.91774	0.002746	Cation/multidrug efflux pump
COG0842	COG0842	6	4.930069	0.001136	ABC-type multidrug transport system, permease component
COG0843	CyoB	4	3.773851	0.000869	Heme/copper-type cytochrome/quinol oxidases, subunit 1
COG0845	AcrA	16	14.018817	0.003231	Membrane-fusion protein
COG0846	SIR2	1	0.952	0.000219	NAD-dependent protein deacetylases, SIR2 family
COG0847	DnaQ	4	3.078189	0.000709	DNA polymerase III, epsilon subunit and related 3'-5' exonucleases
COG0848	ExbD	2	1.89051	0.000435	Biopolymer transport protein
COG0849	ftsA	1	0.99043	0.000228	Cell division ATPase FtsA
COG0850	MinC	1	0.986301	0.000227	Septum formation inhibitor
COG0851	MinE	1	1	0.00023	Septum formation topological specificity factor
COG0852	NuoC	1	1	0.00023	NADH:ubiquinone oxidoreductase 27 kD subunit
COG0853	PanD	1	0.960317	0.000221	Aspartate 1-decarboxylase
COG0854	PdxJ	1	0.995884	0.000229	Pyridoxal phosphate biosynthesis protein
COG0855	Ppk	1	0.994252	0.000229	Polyphosphate kinase
COG0858	RbfA	1	1	0.00023	Ribosome-binding factor A
COG0859	RfaF	15	6.062874	0.001397	ADP-heptose:LPS heptosyltransferase
COG0860	AmiC	2	1.658008	0.000382	N-acetylmuramoyl-L-alanine amidase
COG0861	TerC	7	6.043307	0.001392	Membrane protein TerC, possibly involved in tellurium resistance
COG0863	COG0863	1	0.798013	0.000183	DNA modification methylase
COG0864	NikR	1	0.970588	0.000223	Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain
COG1001	AdeC	1	0.984589	0.000226	Adenine deaminase
COG1003	GcvP	1	0.987903	0.000227	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain
COG1004	Ugd	1	0.997584	0.000229	Predicted UDP-glucose 6-dehydrogenase
COG1005	NuoH	1	1	0.00023	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
COG1006	MnhC	1	0.982608	0.000226	Multisubunit Na+/H+ antiporter, MnhC subunit
COG1007	NuoN	1	0.995789	0.000229	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
COG1008	NuoM	1	0.997987	0.00023	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
COG1009	NuoL	2	1.856435	0.000427	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
COG1010	CobJ	1	0.979919	0.000225	Precorrin-3B methylase
COG1011	COG1011	3	2.812227	0.000648	Predicted hydrolase (HAD superfamily)
COG1012	PutA	15	14.493644	0.00334	NAD-dependent aldehyde dehydrogenases
COG1013	PorB	1	0.738095	0.00017	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit
COG1014	PorG	2	1.837438	0.000423	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit
COG1017	Hmp	1	1	0.00023	Hemoglobin-like flavoprotein
COG1018	Hmp	3	2.827067	0.000651	Flavodoxin reductases (ferredoxin-NADPH reductases) family 1
COG1020	EntF	7	6.2757	0.001446	Non-ribosomal peptide synthetase modules and related proteins
COG1021	EntE	1	0.988929	0.000227	Peptide arylation enzymes
COG1022	FAA1	1	0.98858	0.000227	Long-chain acyl-CoA synthetases (AMP-forming)
COG1024	CaiD	15	14.105058	0.00325	Enoyl-CoA hydratase/carnithine racemase
COG1028	FabG	39	38.183266	0.0088	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
COG1029	FwdB	1	0.755244	0.000174	Formylmethanofuran dehydrogenase subunit B
COG1032	COG1032	2	1.604081	0.000369	Fe-S oxidoreductase
COG1033	COG1033	1	0.983493	0.000226	Predicted exporters of the RND superfamily
COG1034	NuoG	1	0.998556	0.00023	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
COG1040	ComFC	1	0.991111	0.000228	Predicted amidophosphoribosyltransferases
COG1042	COG1042	3	1.993311	0.000459	Acyl-CoA synthetase (NDP forming)
COG1043	LpxA	1	0.96923	0.000223	Acyl-[acyl carrier protein].
COG1044	LpxD	1	0.988165	0.000227	UDP-3-O-[3-hydroxymyristoyl].
COG1045	CysE	3	2.938144	0.000677	Serine acetyltransferase
COG1048	AcnA	1	1	0.00023	Aconitase A
COG1049	AcnB	1	0.997652	0.000229	Aconitase B
COG1051	COG1051	5	4	0.000921	ADP-ribose pyrophosphatase
COG1052	LdhA	4	3.944444	0.000909	Lactate dehydrogenase and related dehydrogenases
COG1053	SdhA	3	2.419928	0.000557	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
COG1055	ArsB	3	2.268867	0.000522	Na+/H+ antiporter NhaD and related arsenite permeases
COG1057	NadD	1	0.86802	0.0002	Nicotinic acid mononucleotide adenylyltransferase
COG1058	CinA	1	0.97647	0.000225	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA
COG1061	SSL2	1	0.737556	0.000169	DNA or RNA helicases of superfamily II
COG1062	AdhC	1	0.997267	0.000229	Zn-dependent alcohol dehydrogenases, class III
COG1063	Tdh	3	2.951428	0.00068	Threonine dehydrogenase and related Zn-dependent dehydrogenases
COG1064	AdhP	2	1.253687	0.000288	Zn-dependent alcohol dehydrogenases
COG1066	Sms	1	0.986842	0.000227	Predicted ATP-dependent serine protease
COG1071	AcoA	2	1.807262	0.000416	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit
COG1074	RecB	2	1.158033	0.000266	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)
COG1075	LipA	1	0.66369	0.000152	Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold
COG1076	DjlA	2	1.925287	0.000443	DnaJ-domain-containing proteins 1
COG1077	MreB	1	0.997076	0.000229	Actin-like ATPase involved in cell morphogenesis
COG1079	COG1079	3	2.927631	0.000674	Uncharacterized ABC-type transport system, permease component
COG1080	PtsA	4	3.940766	0.000908	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
COG1082	IolE	2	1.733576	0.000399	Sugar phosphate isomerases/epimerases
COG1086	COG1086	4	2.209183	0.000509	Predicted nucleoside-diphosphate sugar epimerases
COG1087	GalE	2	1.978723	0.000456	UDP-glucose 4-epimerase
COG1088	RfbB	1	0.991176	0.000228	dTDP-D-glucose 4,6-dehydratase
COG1089	Gmd	2	1.985507	0.000457	GDP-D-mannose dehydratase
COG1091	RfbD	2	1.800711	0.000415	dTDP-4-dehydrorhamnose reductase
COG1092	COG1092	1	1	0.00023	Predicted SAM-dependent methyltransferases
COG1101	PhnK	1	1	0.00023	ABC-type uncharacterized transport system, ATPase component
COG1102	Cmk	1	0.955307	0.00022	Cytidylate kinase
COG1104	NifS	3	2.914507	0.000671	Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes
COG1105	FruK	3	2.964516	0.000683	Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)
COG1108	ZnuB	3	2.810218	0.000647	ABC-type Mn2+/Zn2+ transport systems, permease components
COG1109	{ManB	2	1.943965	0.000448	Phosphomannomutase
COG1116	TauB	14	13.73387	0.003165	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
COG1117	PstB	1	0.988142	0.000227	ABC-type phosphate transport system, ATPase component
COG1118	CysA	1	1	0.00023	ABC-type sulfate/molybdate transport systems, ATPase component
COG1120	FepC	3	2.94186	0.000678	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
COG1121	ZnuC	2	1.866141	0.00043	ABC-type Mn/Zn transport systems, ATPase component
COG1123	COG1123	5	4.439703	0.001023	ATPase components of various ABC-type transport systems, contain duplicated ATPase
COG1124	DppF	1	0.992063	0.000228	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG1125	OpuBA	1	0.990291	0.000228	ABC-type proline/glycine betaine transport systems, ATPase components
COG1126	GlnQ	4	3.975	0.000916	ABC-type polar amino acid transport system, ATPase component
COG1127	Ttg2A	2	1.916349	0.000441	ABC-type transport system involved in resistance to organic solvents, ATPase component
COG1129	MglA	2	1.99	0.000458	ABC-type sugar transport system, ATPase component
COG1131	CcmA	6	5.399317	0.001244	ABC-type multidrug transport system, ATPase component
COG1132	MdlB	7	5.980599	0.001378	ABC-type multidrug transport system, ATPase and permease components
COG1134	TagH	2	1.951807	0.000449	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
COG1135	AbcC	1	1	0.00023	ABC-type metal ion transport system, ATPase component
COG1136	SalX	3	2.783185	0.000641	ABC-type antimicrobial peptide transport system, ATPase component
COG1137	YhbG	1	0.983539	0.000226	ABC-type (unclassified) transport system, ATPase component
COG1138	CcmF	1	0.992283	0.000228	Cytochrome c biogenesis factor
COG1139	COG1139	2	1.973856	0.000454	Uncharacterized conserved protein containing a ferredoxin-like domain
COG1143	NuoI	1	0.802325	0.000184	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
COG1145	NapF	3	1.919191	0.000442	Ferredoxin
COG1146	COG1146	1	0.867647	0.000199	Ferredoxin
COG1149	COG1149	3	0.507042	0.000116	MinD superfamily P-loop ATPase containing an inserted ferredoxin domain
COG1152	CdhA	1	0.125647	2.8e-05	CO dehydrogenase/acetyl-CoA synthase alpha subunit
COG1154	Dxs	1	0.992025	0.000228	Deoxyxylulose-5-phosphate synthase
COG1157	FliI	2	1.981859	0.000456	Flagellar biosynthesis/type III secretory pathway ATPase
COG1158	Rho	1	0.988151	0.000227	Transcription termination factor
COG1159	Era	1	0.973154	0.000224	GTPase
COG1160	COG1160	1	0.997747	0.000229	Predicted GTPases
COG1164	COG1164	1	0.983277	0.000226	Oligoendopeptidase F
COG1167	ARO8	6	5.688453	0.001311	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs
COG1169	MenF	1	0.893617	0.000205	Isochorismate synthase
COG1171	IlvA	5	4.512968	0.00104	Threonine dehydratase
COG1172	AraH	2	1.860759	0.000428	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
COG1173	DppC	11	9.851211	0.00227	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
COG1174	OpuBB	2	1.868778	0.00043	ABC-type proline/glycine betaine transport systems, permease component
COG1175	UgpA	4	3.888135	0.000896	ABC-type sugar transport systems, permease components
COG1176	PotB	8	6.881533	0.001586	ABC-type spermidine/putrescine transport system, permease component I
COG1177	PotC	6	5.681647	0.001309	ABC-type spermidine/putrescine transport system, permease component II
COG1178	ThiP	5	4.733333	0.00109	ABC-type Fe3+ transport system, permease component
COG1180	PflA	1	0.930769	0.000214	Pyruvate-formate lyase-activating enzyme
COG1181	DdlA	2	1.981072	0.000456	D-alanine-D-alanine ligase and related ATP-grasp enzymes
COG1182	AcpD	2	1.995049	0.000459	Acyl carrier protein phosphodiesterase
COG1183	PssA	2	1.794871	0.000413	Phosphatidylserine synthase
COG1185	Pnp	1	1	0.00023	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)
COG1186	PrfB	2	1.53138	0.000352	Protein chain release factor B
COG1187	RsuA	2	1.612903	0.000371	16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases
COG1188	COG1188	1	0.96	0.000221	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)
COG1189	COG1189	1	0.991836	0.000228	Predicted rRNA methylase
COG1192	Soj	10	9.698841	0.002235	ATPases involved in chromosome partitioning
COG1194	MutY	1	0.979532	0.000225	A/G-specific DNA glycosylase
COG1195	RecF	1	1	0.00023	Recombinational DNA repair ATPase (RecF pathway)
COG1196	Smc	7	2.1092	0.000486	Chromosome segregation ATPases
COG1197	Mfd	2	1.924495	0.000443	Transcription-repair coupling factor (superfamily II helicase)
COG1198	PriA	1	0.99178	0.000228	Primosomal protein N' (replication factor Y) - superfamily II helicase
COG1199	DinG	1	0.974006	0.000224	Rad3-related DNA helicases
COG1200	RecG	1	1	0.00023	RecG-like helicase
COG1201	Lhr	1	0.985257	0.000227	Lhr-like helicases
COG1202	COG1202	1	0.398795	9.1e-05	Superfamily II helicase, archaea-specific
COG1203	COG1203	1	0.675306	0.000155	CRISPR-associated helicase Cas3
COG1204	COG1204	2	0.945169	0.000217	Superfamily II helicase
COG1206	Gid	1	1	0.00023	NAD(FAD)-utilizing enzyme possibly involved in translation
COG1207	GlmU	1	1	0.00023	N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)
COG1208	GCD1	3	1.522346	0.00035	Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)
COG1209	RfbA	1	0.996503	0.000229	dTDP-glucose pyrophosphorylase
COG1210	GalU	1	0.979381	0.000225	UDP-glucose pyrophosphorylase
COG1211	IspD	1	0.960869	0.000221	4-diphosphocytidyl-2-methyl-D-erithritol synthase
COG1212	KdsB	1	0.991902	0.000228	CMP-2-keto-3-deoxyoctulosonic acid synthetase
COG1214	COG1214	1	0.977272	0.000225	Inactive homolog of metal-dependent proteases, putative molecular chaperone
COG1215	COG1215	6	3.599088	0.000829	Glycosyltransferases, probably involved in cell wall biogenesis
COG1216	COG1216	11	8.580327	0.001977	Predicted glycosyltransferases
COG1217	TypA	1	0.996683	0.000229	Predicted membrane GTPase involved in stress response
COG1218	CysQ	1	0.931159	0.000214	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
COG1219	ClpX	1	1	0.00023	ATP-dependent protease Clp, ATPase subunit
COG1220	HslU	1	0.993243	0.000228	ATP-dependent protease HslVU (ClpYQ), ATPase subunit
COG1225	Bcp	2	1.649681	0.00038	Peroxiredoxin
COG1226	Kch	2	1.735849	0.0004	Kef-type K+ transport systems, predicted NAD-binding component
COG1228	HutI	2	1.928571	0.000444	Imidazolonepropionase and related amidohydrolases
COG1229	FwdA	1	0.930434	0.000214	Formylmethanofuran dehydrogenase subunit A
COG1230	CzcD	1	0.64527	0.000148	Co/Zn/Cd efflux system component
COG1233	COG1233	3	2.889117	0.000665	Phytoene dehydrogenase and related proteins
COG1235	PhnP	4	3.91078	0.000901	Metal-dependent hydrolases of the beta-lactamase superfamily I
COG1236	YSH1	3	2.899297	0.000668	Predicted exonuclease of the beta-lactamase fold involved in RNA processing
COG1238	COG1238	3	2.857142	0.000658	Predicted membrane protein
COG1240	ChlD	2	1.310344	0.000302	Mg-chelatase subunit ChlD
COG1242	COG1242	1	0.358974	8.2e-05	Predicted Fe-S oxidoreductase
COG1246	ArgA	3	2.084967	0.00048	N-acetylglutamate synthase and related acetyltransferases
COG1247	COG1247	5	4.585798	0.001056	Sortase and related acyltransferases
COG1249	Lpd	3	2.953744	0.00068	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes
COG1250	FadB	2	1.846905	0.000425	3-hydroxyacyl-CoA dehydrogenase
COG1251	NirB	3	1.250945	0.000288	NAD(P)H-nitrite reductase
COG1252	Ndh	3	2.765432	0.000637	NADH dehydrogenase, FAD-containing subunit
COG1253	TlyC	2	1.561771	0.000359	Hemolysins and related proteins containing CBS domains
COG1254	AcyP	1	0.902173	0.000207	Acylphosphatases
COG1256	FlgK	2	2	0.00046	Flagellar hook-associated protein
COG1261	FlgA	2	1.227272	0.000282	Flagellar basal body P-ring biosynthesis protein
COG1262	COG1262	8	6.882165	0.001586	Uncharacterized conserved protein
COG1263	PtsG	1	0.974554	0.000224	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
COG1264	PtsG	2	1.78409	0.000411	Phosphotransferase system IIB components
COG1268	BioY	1	0.85326	0.000196	Uncharacterized conserved protein
COG1270	CbiB	2	1.775	0.000409	Cobalamin biosynthesis protein CobD/CbiB
COG1271	CydA	1	0.975929	0.000224	Cytochrome bd-type quinol oxidase, subunit 1
COG1272	COG1272	1	0.88053	0.000202	Predicted membrane protein, hemolysin III homolog
COG1274	PckA	1	0.983552	0.000226	Phosphoenolpyruvate carboxykinase (GTP)
COG1276	PcoD	1	0.975778	0.000224	Putative copper export protein
COG1278	CspC	13	12.462686	0.002872	Cold shock proteins
COG1279	COG1279	1	0.980198	0.000225	Lysine efflux permease
COG1280	RhtB	6	5.918269	0.001364	Putative threonine efflux protein
COG1281	COG1281	1	0.982517	0.000226	Disulfide bond chaperones of the HSP33 family
COG1282	PntB	2	1.99352	0.000459	NAD/NADP transhydrogenase beta subunit
COG1283	NptA	1	1	0.00023	Na+/phosphate symporter
COG1284	COG1284	1	0.605536	0.000139	Uncharacterized conserved protein
COG1285	SapB	2	1.171945	0.00027	Uncharacterized membrane protein
COG1286	CvpA	1	0.752747	0.000173	Uncharacterized membrane protein, required for colicin V production
COG1289	COG1289	1	0.979228	0.000225	Predicted membrane protein
COG1290	QcrB	1	0.947506	0.000218	Cytochrome b subunit of the bc complex
COG1291	MotA	3	2.894736	0.000667	Flagellar motor component
COG1292	BetT	1	0.925512	0.000213	Choline-glycine betaine transporter
COG1293	COG1293	1	0.117021	2.6e-05	Predicted RNA-binding protein homologous to eukaryotic snRNP
COG1294	AppB	1	0.994219	0.000229	Cytochrome bd-type quinol oxidase, subunit 2
COG1295	Rbn	2	1.930693	0.000444	Ribonuclease BN family enzyme
COG1296	AzlC	1	0.743697	0.000171	Predicted branched-chain amino acid permease (azaleucine resistance)
COG1298	FlhA	2	1.965517	0.000453	Flagellar biosynthesis pathway, component FlhA
COG1299	FruA	2	1.97376	0.000454	Phosphotransferase system, fructose-specific IIC component
COG1301	GltP	1	0.963855	0.000222	Na+/H+-dicarboxylate symporters
COG1304	idi	1	0.980555	0.000226	Isopentenyl diphosphate isomerase (BS_ypgA, MTH48 and related proteins)
COG1305	COG1305	3	2.780564	0.00064	Transglutaminase-like enzymes, putative cysteine proteases
COG1309	AcrR	18	16.61194	0.003828	Transcriptional regulator
COG1312	UxuA	1	0.994475	0.000229	D-mannonate dehydratase
COG1314	SecG	1	0.848837	0.000195	Preprotein translocase subunit SecG
COG1317	FliH	1	0.717948	0.000165	Flagellar biosynthesis/type III secretory pathway protein
COG1319	CoxM	4	3.915492	0.000902	Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs
COG1320	MnhG	1	0.911504	0.00021	Multisubunit Na+/H+ antiporter, MnhG subunit
COG1322	COG1322	1	0.877232	0.000202	Predicted nuclease of restriction endonuclease-like fold, RmuC family
COG1324	CutA	1	0.990384	0.000228	Uncharacterized protein involved in tolerance to divalent cations
COG1327	COG1327	1	0.961538	0.000221	Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains
COG1329	COG1329	1	0.987951	0.000227	Transcriptional regulators, similar to M. xanthus CarD
COG1331	COG1331	1	0.983508	0.000226	Highly conserved protein containing a thioredoxin domain
COG1335	PncA	7	6.560975	0.001512	Amidases related to nicotinamidase
COG1338	FliP	2	1.866935	0.00043	Flagellar biosynthesis pathway, component FliP
COG1343	COG1343	1	0.966292	0.000222	CRISPR-associated protein Cas2
COG1344	FlgL	7	4.408333	0.001016	Flagellin and related hook-associated proteins
COG1346	LrgB	1	0.995652	0.000229	Putative effector of murein hydrolase
COG1348	NifH	1	0.996402	0.000229	Nitrogenase subunit NifH (ATPase)
COG1349	GlpR	1	0.980237	0.000225	Transcriptional regulators of sugar metabolism
COG1351	THY1	1	0.98901	0.000227	Predicted alternative thymidylate synthase
COG1352	CheR	5	4.876865	0.001124	Methylase of chemotaxis methyl-accepting proteins
COG1354	scpA	1	0.979838	0.000225	Rec8/ScpA/Scc1-like protein (kleisin family)
COG1357	COG1357	18	15.436974	0.003557	Pentapeptide repeats containing protein
COG1360	MotB	5	4.127049	0.000951	Flagellar motor protein
COG1363	FrvX	1	0.97183	0.000223	Cellulase M and related proteins
COG1364	ArgJ	1	1	0.00023	N-acetylglutamate synthase (N-acetylornithine aminotransferase)
COG1366	SpoIIAA	7	5.615384	0.001294	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
COG1376	ErfK	1	0.586206	0.000135	Uncharacterized protein conserved in bacteria
COG1377	FlhB	2	1.942148	0.000447	Flagellar biosynthesis pathway, component FlhB
COG1380	COG1380	1	0.765625	0.000176	Putative effector of murein hydrolase LrgA
COG1381	RecO	2	1.12749	0.000259	Recombinational DNA repair protein (RecF pathway)
COG1384	LysS	1	1	0.00023	Lysyl-tRNA synthetase (class I)
COG1385	COG1385	1	0.983739	0.000226	Uncharacterized protein conserved in bacteria
COG1386	scpB	1	0.945652	0.000217	Chromosome segregation and condensation protein B
COG1391	GlnE	1	0.967808	0.000223	Glutamine synthetase adenylyltransferase
COG1392	COG1392	2	1.940092	0.000447	Phosphate transport regulator (distant homolog of PhoU)
COG1393	ArsC	3	2.931623	0.000675	Arsenate reductase and related proteins, glutaredoxin family
COG1396	HipB	10	6.65	0.001532	Predicted transcriptional regulators
COG1397	DraG	1	0.968152	0.000223	ADP-ribosylglycohydrolase
COG1399	COG1399	1	0.676136	0.000155	Predicted metal-binding, possibly nucleic acid-binding protein
COG1402	COG1402	1	0.988	0.000227	Uncharacterized protein, putative amidase
COG1403	McrA	2	1.39041	0.00032	Restriction endonuclease
COG1404	AprE	1	0.69685	0.00016	Subtilisin-like serine proteases
COG1407	COG1407	1	0.953191	0.000219	Predicted ICC-like phosphoesterases
COG1409	Icc	2	1.631229	0.000375	Predicted phosphohydrolases
COG1410	MetH	1	0.997624	0.000229	Methionine synthase I, cobalamin-binding domain
COG1411	COG1411	1	0.951965	0.000219	Uncharacterized protein related to proFAR isomerase (HisA)
COG1413	COG1413	2	0.546268	0.000125	FOG: HEAT repeat
COG1414	IclR	9	8.243902	0.0019	Transcriptional regulator
COG1416	COG1416	1	0.964285	0.000222	Uncharacterized conserved protein
COG1418	COG1418	1	0.891891	0.000205	Predicted HD superfamily hydrolase
COG1419	FlhF	1	0.997542	0.000229	Flagellar GTP-binding protein
COG1420	HrcA	1	0.973988	0.000224	Transcriptional regulator of heat shock gene
COG1422	COG1422	1	0.268656	6.1e-05	Predicted membrane protein
COG1426	COG1426	1	0.806338	0.000185	Predicted transcriptional regulator contains Xre-like HTH domain
COG1429	CobN	2	1.780259	0.00041	Cobalamin biosynthesis protein CobN and related Mg-chelatases
COG1430	COG1430	1	0.97619	0.000224	Uncharacterized conserved protein
COG1432	COG1432	1	0.917127	0.000211	Uncharacterized conserved protein
COG1433	COG1433	1	0.991735	0.000228	Uncharacterized conserved protein
COG1434	COG1434	2	1.735426	0.000399	Uncharacterized conserved protein
COG1445	FrwB	3	2.59836	0.000598	Phosphotransferase system fructose-specific component IIB
COG1451	COG1451	1	1	0.00023	Predicted metal-dependent hydrolase
COG1452	Imp	1	0.918367	0.000211	Organic solvent tolerance protein OstA
COG1454	EutG	3	2.968169	0.000684	Alcohol dehydrogenase, class IV
COG1462	CsgG	1	0.420634	9.6e-05	Uncharacterized protein involved in formation of curli polymers
COG1463	Ttg2C	2	1.278551	0.000294	ABC-type transport system involved in resistance to organic solvents, periplasmic component
COG1464	NlpA	2	2	0.00046	ABC-type metal ion transport system, periplasmic component/surface antigen
COG1466	HolA	1	0.907185	0.000209	DNA polymerase III, delta subunit
COG1468	COG1468	1	0.921052	0.000212	CRISPR-associated protein Cas4 (RecB family exonuclease)
COG1472	BglX	2	1.551637	0.000357	Beta-glucosidase-related glycosidases
COG1473	AbgB	2	1.941326	0.000447	Metal-dependent amidase/aminoacylase/carboxypeptidase
COG1474	CDC6	1	0.724043	0.000166	Cdc6-related protein, AAA superfamily ATPase
COG1475	Spo0J	6	5.2375	0.001207	Stage 0 sporulation protein J (antagonist of Soj) containing ParB-like nuclease domain
COG1476	COG1476	3	2.558823	0.000589	Predicted transcriptional regulators
COG1484	DnaC	5	3.728346	0.000859	DNA replication protein
COG1485	COG1485	1	0.972752	0.000224	Predicted ATPase
COG1486	CelF	1	0.9819	0.000226	Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases
